id,bank_id,total_cases,resolved_cases,unresolved_cases,favorable_cases,unfavorable_cases,mixed_cases,case_outcome,last_updated,created_at
4,1909,4,4,0,4,0,0,Favorable,2025-09-14 07:02:14+00:00,2025-09-14 07:02:14+00:00
6,1911,11,11,0,11,0,0,Favorable,2025-09-14 07:02:16+00:00,2025-09-14 07:02:16+00:00
7,1913,29,29,0,28,1,0,Favorable,2025-09-14 07:02:19+00:00,2025-09-14 07:02:19+00:00
8,1914,9,9,0,9,0,0,Favorable,2025-09-14 07:02:19+00:00,2025-09-14 07:02:19+00:00
10,1917,1,1,0,1,0,0,Favorable,2025-09-14 07:02:23+00:00,2025-09-14 07:02:23+00:00
11,1919,20,20,0,16,3,1,Favorable,2025-09-14 07:02:25+00:00,2025-09-14 07:02:25+00:00
12,1921,2,2,0,2,0,0,Favorable,2025-09-14 07:02:27+00:00,2025-09-14 07:02:27+00:00
13,1922,32,32,0,24,7,1,Favorable,2025-09-14 07:02:28+00:00,2025-09-14 07:02:28+00:00
14,1924,3,3,0,3,0,0,Favorable,2025-09-14 07:02:30+00:00,2025-09-14 07:02:30+00:00
15,1925,6,6,0,4,2,0,Favorable,2025-09-14 07:02:31+00:00,2025-09-14 07:02:31+00:00
16,1927,5,5,0,4,1,0,Favorable,2025-09-14 07:02:32+00:00,2025-09-14 07:02:32+00:00
17,1928,14,14,0,13,1,0,Favorable,2025-09-14 07:02:33+00:00,2025-09-14 07:02:33+00:00
18,1929,3,3,0,3,0,0,Favorable,2025-09-14 07:02:34+00:00,2025-09-14 07:02:34+00:00
19,1930,12,12,0,7,5,0,Favorable,2025-09-14 07:02:35+00:00,2025-09-14 07:02:35+00:00
20,1931,12,12,0,7,5,0,Favorable,2025-09-14 07:02:36+00:00,2025-09-14 07:02:36+00:00
21,1932,5,5,0,5,0,0,Favorable,2025-09-14 07:02:37+00:00,2025-09-14 07:02:37+00:00
5,1910,17,17,0,16,0,1,Favorable,2025-09-28 06:24:43.591071+00:00,2025-09-14 07:02:15+00:00
1,1912,15,15,0,13,2,0,Favorable,2025-09-28 06:24:55.172381+00:00,2025-09-14 06:53:58+00:00
3,1908,54,54,0,48,5,1,Favorable,2025-09-28 06:28:00.559382+00:00,2025-09-14 07:02:13+00:00
2,1907,81,81,0,72,7,2,Favorable,2025-09-28 06:28:00.693529+00:00,2025-09-14 07:02:11+00:00
9,1915,93,93,0,82,6,5,Favorable,2025-09-28 06:28:01.304232+00:00,2025-09-14 07:02:21+00:00
